id,app,name,applied
1,contenttypes,0001_initial,2020-12-02 15:55:53.95002+00
2,contenttypes,0002_remove_content_type_name,2020-12-02 15:55:53.964335+00
3,auth,0001_initial,2020-12-02 15:55:53.992667+00
4,auth,0002_alter_permission_name_max_length,2020-12-02 15:55:54.03171+00
5,auth,0003_alter_user_email_max_length,2020-12-02 15:55:54.038125+00
6,auth,0004_alter_user_username_opts,2020-12-02 15:55:54.044731+00
7,auth,0005_alter_user_last_login_null,2020-12-02 15:55:54.051253+00
8,auth,0006_require_contenttypes_0002,2020-12-02 15:55:54.053605+00
9,auth,0007_alter_validators_add_error_messages,2020-12-02 15:55:54.059807+00
10,auth,0008_alter_user_username_max_length,2020-12-02 15:55:54.066179+00
11,auth,0009_alter_user_last_name_max_length,2020-12-02 15:55:54.072898+00
12,auth,0010_alter_group_name_max_length,2020-12-02 15:55:54.081006+00
13,auth,0011_update_proxy_permissions,2020-12-02 15:55:54.088731+00
14,auth,0012_alter_user_first_name_max_length,2020-12-02 15:55:54.094846+00
15,recipick,0001_initial,2020-12-02 15:55:54.259323+00
16,admin,0001_initial,2020-12-02 15:55:54.389874+00
17,admin,0002_logentry_remove_auto_add,2020-12-02 15:55:54.41401+00
18,admin,0003_logentry_add_action_flag_choices,2020-12-02 15:55:54.428872+00
19,sessions,0001_initial,2020-12-02 15:55:54.439525+00
20,recipick,0002_auto_20201204_1225,2020-12-06 23:57:46.5787+00
21,recipick,0002_auto_20201210_0738,2020-12-10 08:58:26.292814+00
