id,name,quantity,price,price_normalized,igd_type,brand,picture
1,노브랜드 쫄깃한 베이컨 ,300,3980,, g,NoBrand,노브랜드_쫄깃한_베이컨__AqvG7tG.jpeg
2,[노브랜드]한입쏙쏙비엔나 ,550,4980,,g,NoBrand,노브랜드한입쏙쏙비엔나__UAGa6Dy.jpeg
3,[노브랜드] 숯불데리야끼닭꼬치 ,800,12980,,g,NoBrand,노브랜드_숯불데리야끼닭꼬치__67RRsP1.jpeg
4,[노브랜드] 쫄깃한 모둠어묵 ,450,2580,,g,NoBrand,노브랜드_쫄깃한_모둠어묵__wg8hNwJ.jpeg
5,[노브랜드] 크라비 맛살 ,150,1380,,g,NoBrand,노브랜드_크라비_맛살__yb7x6du.jpeg
6,노브랜드 떡국떡 ,800,1680,,g,NoBrand,노브랜드_떡국떡__aQHsBzt.jpeg
7,[노브랜드] 종합 어묵 ,1,3980,,kg,NoBrand,노브랜드_종합_어묵__4DypsrI.jpeg
8,[노브랜드] 김밥용 맛 단무지 ,550,1980,,g,NoBrand,노브랜드_김밥용_맛_단무지__gCA8WtH.jpeg
9,[노브랜드] 칠리 새우 ,400,6580,,g,NoBrand,노브랜드_칠리_새우__iCGQhic.jpeg
10,[노브랜드]간편한 유부초밥 ,540,4380,,g,NoBrand,노브랜드간편한_유부초밥__miufRYe.jpeg
11,[노브랜드] 통안심치킨텐더,550,5880,,g,NoBrand,노브랜드_통안심치킨텐더_69ZV7Ot.jpeg
12,노브랜드 떡볶이떡 ,800,1680,,g,NoBrand,노브랜드_떡볶이떡__6PWOhUh.jpeg
13,노브랜드 감자칩 오리지날 ,110,890,,g,NoBrand,노브랜드_감자칩_오리지날__PBTC0Ek.jpeg
14,노브랜드 담백한 살코기참치 ,90,980,,g,NoBrand,노브랜드_담백한_살코기참치__wBFoY7B.jpeg
15,노브랜드 초코 웨이퍼롤 ,115,980,,g,NoBrand,노브랜드_초코_웨이퍼롤__3nlAQYH.jpeg
16,[노브랜드] 갈비만두,720,5980,,g,NoBrand,노브랜드_갈비만두_U5Irayh.jpeg
17,노브랜드 감자칩 사워크림&어니언 ,110,980,,g,NoBrand,노브랜드_감자칩_사워크림어니언__ORuRR5g.jpeg
18,[노브랜드] 초코 칩 아이스 크림 ,660,3980,,ml,NoBrand,노브랜드_초코_칩_아이스_크림__WfynvlT.jpeg
19,[노브랜드] 홈스타일 토마토 스파게티 소스 ,400,1780,,g,NoBrand,노브랜드_홈스타일_토마토_스파게티_소스__tQMVugC.jpeg
20,[노브랜드] 한입 동그랑 땡 ,700,4880,,g,NoBrand,노브랜드_한입_동그랑_땡__81glpDU.jpeg
21,[노브랜드] 아몬드 크랜베리 시리얼 ,630,4980,,g,NoBrand,노브랜드_아몬드_크랜베리_시리얼__Uyk7R95.jpeg
22,[노브랜드] 김밥용맛살,165,1280,,g,NoBrand,노브랜드_김밥용맛살_BSWGjhe.jpeg
23,[노브랜드] 짜장라면 ,5,2280,,개입,NoBrand,노브랜드_짜장라면__zCsN8kV.jpeg
24,[노브랜드] 국수 소면 ,500,980,,g,NoBrand,노브랜드_국수_소면__hZqULP6.jpeg
25,[노브랜드] 리얼 햄 ,1,6980,,kg,NoBrand,노브랜드_리얼_햄__BBibQy4.jpeg
26,[노브랜드] 김밥용햄 ,150,1480,,g,NoBrand,노브랜드_김밥용햄__ujAid3w.jpeg
27,[노브랜드] 정통왕교자 ,945,5280,, g,NoBrand,노브랜드_정통왕교자__FkZCko3.jpeg
28,[노브랜드] 그릴 닭가슴살 ,140,1980,,g,NoBrand,노브랜드_그릴_닭가슴살__SJvk1Ck.jpeg
